title,posted_at,body
Saudi women drive for extra cash as costs climb,2022-03-13 12:31:06+08:00,"RIYADH: Like other Saudi women, Fahda Fahd couldn't legally drive until 2018, but her lime-green Kia is now a route to extra cash as living costs rise in the conservative kingdom.  When she's not working full time at a healthcare call centre, the 54-year-old picks up fares in the capital Riyadh from a ride-hailing app exclusively for women.  Fahd said her family was supportive of her second job, on two conditions: No long trips or men as passengers.  ""I decided to work as a taxi driver to earn extra income,"" said Fahd, wearing a black head covering and an anti-coronavirus face mask.  ""My salary is not enough for my three children, and especially for my daughter who has special needs,"" she told AFP.  Sweeping social reforms, including lifting the infamous ban on women driving, have transformed life for many Saudis, but rising costs are increasingly problematic.  Fahd says her salary of 4,000 Saudi riyals (US$1,066) a month from her regular job is not enough - but driving brings in another 2,500 riyals.  She usually hits the road before her shift starts at 2pm, sometimes accepting passengers on her way home at 10pm, and says she appreciates the flexible hours.  ""It has allowed me to help my retired husband pay monthly bills and for my children's school needs,"" she said, checking her phone for the latest fare.  Costs are creeping up in Saudi Arabia, which is on a drive to reduce its economic reliance on oil and in July 2020 hiked value added tax to 15 per cent.  Last December, transport costs were up 7.2 per cent year-on-year, part of a 1.2 per cent rise in consumer prices.  At the same time, millions of Saudi women are finding jobs as female employment gains acceptance in the deeply patriarchal society.  Women made up more than a third of the workforce last year for the first time, government figures showed.  They are among the Saudis now commonly seen serving customers in restaurants, cafes and shoe stores, filling jobs formerly done by foreigners as the government pursues its ""Saudisation"" plan for the economy.  Traditionally, Saudi women were forbidden from mixing with men outside their extended family.  Insaf, a 30-year-old mother of three, said she turned to driving after her husband died suddenly.  ""He didn't leave us a fortune, so I had to work to support my children,"" she told AFP, preferring to use a pseudonym for privacy reasons.  ""I am using my late husband's car to drive women and children in the neighbourhood to schools or shopping centres.  ""My work as a driver has given me a new chance at life.""  Since 2018, more than 200,000 women have obtained driving licences, with car sales rising five percent last year, according to media reports.  Egyptian passenger Aya Diab, 29, said she was ""more comfortable dealing with women"", and a Saudi customer who spoke on condition of anonymity expressed a similar sentiment.  ""I feel like I'm with my sister,"" she said, sitting in the front seat next to Fahd as they drove off. "
"China records nearly 3,400 daily COVID-19 cases in worst outbreak in two years",2022-03-13 20:16:19+08:00,"BEIJING: Chinese health authorities reported nearly 3,400 COVID-19 cases on Sunday (Mar 13), double the previous day, forcing lockdowns on virus hotspots as the country contends with its gravest outbreak in two years.  A nationwide surge in cases has seen authorities close schools in Shanghai and lock down several northeastern cities, as almost 19 provinces battle clusters of the Omicron and Delta variants.  The southern Chinese tech hub Shenzhen was put under a citywide lockdown Sunday, the local government announced, after it reported 66 new coronavirus cases and sealed off the central business district.  Home to tech giants including Huawei and Tencent, the city of around 17 million across the border from COVID-hit Hong Kong has told residents to stay home to tamp down an Omicron flare-up, having already closed non-essential venues and banned restaurant dining in recent days.  The city of Jilin has been partially locked down, with hundreds of neighbourhoods sealed up, an official announced Sunday, while Yanji, an urban area of nearly 700,000 bordering North Korea, was fully closed off.  China, where the virus was first detected in late 2019, has maintained a strict ""zero-Covid'' policy enforced by swift lockdowns, travel restrictions and mass testing when clusters have emerged.  But the latest flare-up, driven by the highly transmissible Omicron variant and a spike in asymptomatic cases, is challenging that approach.  Zhang Yan, an official with the Jilin provincial health commission, admitted Sunday that local authorities' virus response so far had been lacking.  ""The emergency response mechanism in some areas is not robust enough, there is insufficient understanding of the characteristics of the Omicron variant ... and judgment has been inaccurate,"" he said at a government press briefing.  Residents of Jilin have completed six rounds of mass testing, local officials said. On Sunday the city reported over 500 cases of the Omicron variant.  The neighbouring city of Changchun - an industrial base of 9 million people - was locked down Friday.  The smaller cities of Siping and Dunhua, both in Jilin province, were locked down Thursday and Friday, according to official announcements.  The mayor of Jilin and the head of the Changchun health commission were dismissed from their jobs Saturday, state media reported, in a sign of the political imperative placed on local authorities to squash virus clusters.  But fatigue with the strict approach has been showing in China, with officials increasingly urging softer and more targeted measures to contain the virus, while economists warn that tough clampdowns are hurting the economy.  As cases have climbed since late February, the response in different parts of the country has been generally softer and more targeted compared to December, when the city of Xi'an and its 13 million people were locked down for two weeks.  In China's biggest city Shanghai, authorities have increasingly moved to temporarily lock down individual schools, businesses, restaurants and malls over close-contact fears rather than mass quarantines.  Long lines have been seen outside hospitals in the city as people rush to obtain a negative COVID-19 test.  As cases rise, the country's National Health Commission announced Friday that they would introduce the use of rapid antigen tests.  The kits will now be available online or at pharmacies for clinics and ordinary citizens to buy for ""self-testing"", the health commission said.  Although nucleic acid tests will continue to be the main method of testing, the move suggests China may be anticipating that official efforts will not be able to contain the virus.  Last week, a top Chinese scientist said the country should aim to co-exist with the virus, like other nations, where Omicron has spread like wildfire.  But the government has also made clear that mass lockdowns remain an option.  Chinese Vice Premier Sun Chunlan, who frequently telegraphs top-level thinking on the pandemic response, on Saturday urged regions to quickly pounce on and clear outbreaks. "
The lonely envoy: Moscow's man at the UN finds himself on the defensive,2022-03-13 11:41:35+08:00,"UNITED NATIONS: It was the middle of an emergency session of the UN Security Council, late on the evening of Feb 23, and Vassily Nebenzia looked shaken - his face pale, his shoulders sagging.  Russia, the country he represents at the United Nations, had just invaded Ukraine, sending shock waves around the world that continue to reverberate today.  At nearly 60, Nebenzia - a bald man, massively built, who wears thin-framed glasses and often fiddles with his watch - was chairing the Council.  It was a shocking first for the UN: The man presiding over the August body dedicated to defending global peace was also the representative of a nuclear power now waging war against a democracy.  Did he know, when he opened the session and sat listening as his colleagues delivered impassioned pleas for Moscow to pull back the armed forces surrounding much of Ukraine - that they had already invaded?  More generally, does he believe the words in the speeches he reads?  ""I don't know, but I believe not,"" one UN official told AFP, speaking on grounds of anonymity.  Several ambassadors said they shared that impression.  The Ukrainian ambassador, Sergiy Kyslytsya, regularly asks Nebenzia if he is actually in touch with Moscow.  British envoy Barbara Woodward, a specialist in Russian and Chinese affairs, reminded Nebenzia that the great Russian writer Alexander Solzhenitsyn wrote: ""Man is given not only one life, but also one conscience.""  ""I know that you've spoken under instructions today, but I ask you to report faithfully back to Moscow what you have heard today - the urgency of this Council's calls for peace.""  Nebenzia did not respond to an AFP request for an interview. "
"Winter Paralympics to close after Ukraine, China athletes star",2022-03-13 11:22:55+08:00,"BEIJING: The flame will be extinguished on Beijing's Winter Paralympics on Sunday (Mar 13) after a week of stellar performances from the host nation and Ukrainian athletes reeling from Moscow's invasion.  The Bird's Nest stadium will host the closing ceremony where China will hand the baton to Italy's Milano-Cortina, who will stage the 2026 Winter Games.  At the opening ceremony, China's state broadcaster CCTV censored International Paralympic Committee (IPC) President Andrew Parsons' forceful anti-war speech.  More than a week later, CCTV has not responded to the IPC's questions or provided any guarantees that it will not act in similar fashion during the closing ceremony.  The lead-up to the Games was overshadowed by controversy over whether athletes from Russia and ally Belarus should be allowed to compete.  The International Olympic Committee (IOC) had urged sporting federations across the world to exclude athletes from those nations.  The IPC initially said it would allow the athletes to compete as neutrals, but after threats of boycotts from other competitors and tensions rising in the athletes' village, organisers banned them from the Games.  After an arduous journey to get to the Chinese capital from their war-torn homeland, Ukraine's athletes lie a remarkable second in the medals table after their best performance in a Winter Paralympics.  One athlete learned her soldier father had been taken prisoner by Russian troops while another won a gold medal days after discovering her home in Kharkiv had been bombed  The team had 28 podium finishes by Sunday morning, including 10 gold medals in biathlon and cross country skiing.  ""To compete here at such a high level knowing their family and nation is under attack is just incredible,"" Parsons told reporters on Saturday.  ""It's one of the most incredible displays of resilience I've ever seen in my life, in or outside of sport.""  Host nation China emerged as the new Winter Paralympics powerhouse - topping the medals table ahead of Ukraine with 18 golds and 59 medals in all.  China made their debut in 2002 but recorded their first gold, in wheelchair curling, at Pyeongchang in South Korea only four years ago. The scale of their success in Beijing has surprised some of their own athletes.  ""We weren't really aware of our level before these Paralympic Games, because we haven't been competing abroad much lately,"" said Liu Sitong, 27, who won two bronze and one silver medal in women's sitting alpine skiing races.  On the last day of competition Sunday, the United States face Canada for para-ice hockey gold after China beat South Korea 4-0 on Saturday to claim the bronze.  ""We want to encourage every person with a disability to live every day positively and believe that everyone has value and can contribute in every field,"" Chinese player Cui Yutao said.  ""We formed the team in 2016 and we've basically been training behind closed doors since. We didn't go home for about three years - all because we were chasing this dream,"" teammate Wang Zhidong said.  There are last-day medals also to be won in skiing's cross country relays and alpine events. "
Kisnorbo hails second half show after City fight back for point,2022-03-13 11:17:19+08:00,"    Melbourne City head coach Patrick Kisnorbo praised his players' second half performance as their best of the season after the reigning A-League champions fought back from two goals down to draw with Western United.  Connor Metcalfe and Jamie Maclaren scored to cancel out efforts from Leo Lacroix and Rene Krhin in Saturday's top-of-the-table clash and the 2-2 draw means City remain at the summit ahead of Western United on goal-difference.  ""I think in the second half we dominated completely,"" said the former Leeds United and Leicester City defender.   ""Sometimes the ball goes in, sometimes it doesn't. It was great character to get back in the game.  ""Sometimes you need a bit of luck for the ball to go in but I'm very happy with how we played, especially in the second half.  ""After the 2-0 we dominated completely. There were shots, chances that on another day could've been something else but at the end of the day we go home 2-2.""  Kisnorbo's side also saw Andrew Nabboutt's early effort cleared off the goal-line while Metcalfe hit the crossbar in their quest for a winner in the final 30 minutes of the game.  The draw halted a run of four straight wins for Western United and means City have now gone six consecutive games without defeat.  ""The way we played, you don't look at chances you look at performance and for me I reckon we played the best football - second half especially - this year,"" said Kisnorbo.   ""The way we were playing, moving the ball quick and on a difficult pitch, I thought we were outstanding.""     (Reporting by Michael Church in Hong Kong, Editing by Richard Pullin) "
"Georgia to face Australia, Fiji and Wales at 2023 World Cup",2022-03-13 11:14:09+08:00,"    Georgia defeated Romania 26-23 in Bucharest on Saturday to seal their spot in Pool C of the 2023 Rugby World Cup in France, where they will take on Australia, Fiji, Wales and another qualifier.  Georgia had already secured qualification for the World Cup because Russia is banned from the 2022 European Championship over its invasion of Ukraine, but their win over Romania ensures they finish atop the continental tournament's standings with eight wins and one draw.  They take on Spain in their final match of the campaign on March 20.  Spain and Portugal, tied on 25 points, face off on Sunday in a bid to finish second and secure direct qualification for the World Cup Pool B alongside defending champions South Africa, Ireland, Scotland and a qualifier.  The team that finishes third in the table will compete in the final qualification tournament in November.     (Reporting by Aadi Nair in Bengaluru; Editing by William Mallard) "
Australia's COVID-19 vaccine diplomacy in Pacific islands wards off Beijing: PM Morrison,2022-03-13 11:01:07+08:00,"SYDNEY: Australia has been able to stop an ""incursion"" by Beijing into the Pacific islands by talking with leaders there weekly and offering vaccine aid, Prime Minister Scott Morrison said on Sunday (Mar 13).  Concern over China's military ambitions for the region, after it provided police and riot equipment to the Solomon Islands, prompted US Secretary of State Antony Blinken to last month announce Washington would open a Solomon Islands embassy.  Morrison said China had been ""very clear"" about aspirations to build a military base in the Pacific islands, but this had not occurred.  This was because Australia worked closely with the region, including providing COVID-19 vaccines before others could offer support, he said in a TV interview with Nine's Weekend Today.  ""I talk to Pacific leaders every single week and that is what ensures that we can block the incursion into our region, because we share values with the Pacific,"" he said.  Australia is historically the largest aid donor to the Pacific islands, although China has increased infrastructure lending and aid, and provided military equipment to regional hub Fiji.  Beijing has previously said Australia and the United States are ""resurrecting a Cold War mentality"", while China's assistance would ""build a community with a shared future for China and Pacific island countries"".  Tensions between Australia and China, who are significant trading partners, have risen as Beijing sanctioned Australian products in reprisal for Canberra calling for an investigation into the origins of the COVID-19 pandemic.  Morrison, who faces an election in May, has put his government's tough rhetoric on China at the forefront of his campaign for re-election. "
Two injured in stabbing attack at New York's Museum of Modern Art,2022-03-13 10:13:15+08:00,"NEW YORK: A man stabbed two employees inside the Museum of Modern Art in New York on Saturday (Mar 12) afternoon, leaping over a reception desk to attack them after he was denied entrance for previous incidents of disorderly conduct, authorities said.  Police said the two employees were stabbed multiple times and both were in stable condition at Bellevue Hospital later Saturday. People posting accounts to social media said museumgoers ran for the exits in confusion and chaos after the stabbing.  NYPD Deputy Commissioner of Intelligence & Counterterrorism John Miller said the man's membership was revoked for two separate incidents of disorderly behavior at the museum in recent days. He was being sought.  “He became upset about not being allowed entrance, and then jumped over the reception desk and proceeded to attack and stab two employees of the museum multiple times,” Miller said.  Miller said the employees were stabbed in the back, in the collar bone, in the back of neck and were rushed within minutes to Bellevue.  Miller said police trying to locate the man had access to video of him leaving the museum and were aware of the direction in which he left.  He did not identify the man by name but described him as a white male wearing a black jacket, blue surgical mask, a colorfully patterned shirt and hood. Miller said the man was a “regular” at the museum, and that the museum had adequate security.  Social media posts on Twitter showed that the midtown Manhattan museum had evacuated its patrons Saturday afternoon. One of the videos posted online showed police vehicles, their emergency lights flashing, thronging the outside of the museum as dozens of patrons hurried away amid a light snowfall.  Law enforcement officials are investigating the attack, and the names of the employees were not immediately released.  Mayor Eric Adams tweeted Saturday evening that he had been briefed on the attack and said the injuries to the two victims were not life-threatening. “We're grateful for the quick work of our first responders,"" he added.  MoMA, founded in 1929, is one of New York City's top tourist attractions, and drew more than 700,000 visitors in 2020. Its collection of modern art includes The Starry Night by Vincent Van Gogh and works by Henri Matisse and Paul Gaugin. "
'Mission impossible': UN in Cambodia showed early limit of nation building,2022-03-13 09:56:12+08:00,"PHNOM PENH: Just over 30 years ago, a crackling radio in a refugee camp on the Thai border brought Sam Sophal word that the United Nations was coming to his war-ravaged homeland of Cambodia.   For Sam Sophal, who survived the Khmer Rouge genocide only because his mother bribed Khmer Rouge executioners with her silver watch, the promise of peace was irresistible.  The UN Transitional Authority in Cambodia (UNTAC) arrived on Mar 15, 1992, with great expectations, the first UN nation-building operation after the collapse of the Soviet Union sparked hope that democracy would flourish around the world.  But long before last year's shambolic fall of Afghanistan and the costly international missions in Iraq, Kosovo and elsewhere, Cambodia would serve as an early warning of the flaws and limitations of nation building.   At the time, UNTAC was the most ambitious and expensive UN mission but despite its US$1.6 billion cost and US$20 billion in subsequent international aid, hopes of creating a vibrant democracy faded long ago.  ""I felt very proud during the UNTAC time because I was the first generation to bring peace to Cambodia,"" says Sam Sophal, 60, who got a job as a translator with the mission soon after its launch.  ""Now I see we have gone backwards. To one-party rule,"" he said under the shade of a Jujube tree in his Phnom Penh backyard.  Prime Minister Hun Sen, the same man in power before the UNTAC mission, remains leader, presiding over what critics call an authoritarian government with most opposition leaders in exile or in jail.   Government spokesman Phay Siphan rejects accusations that Hun Sen is an autocrat, saying he has worked for peace and democracy since 1979.  The United Nations said in a statement UNTAC's original mandate of ""restoring to the Cambodian people and their democratically elected leaders their primary responsibility for peace, stability, national reconciliation and reconstruction had been fulfilled"".   A prophecy that foretold of a ""god with blue eyes"" that would one day bless and restore the land had spread through villages during Cambodia's darkest years.  So when UNTAC arrived with their sky-blue flag and helmets they were seen as an incarnation of that deity, some even painting their homes a UN shade of blue, recalled Youk Chhang, executive director of the Documentation Center of Cambodia.   ""Conflict, genocide, invasions, refugees ... and then suddenly there was blue sky,"" he said.  A former French colony, by the early 1990s Cambodia had endured decades of devastation after getting sucked into the Vietnam War. During the four-year Khmer Rouge ""killing fields"" regime an estimated 1.7 million people, about a fifth of the population, perished.  A Vietnamese invasion toppled the Khmer Rouge in 1979, setting off a war in which the ousted Maoists and two other factions battled the invaders and their Cambodian allies.  UNTAC's main triumphs were bringing hundreds of thousands of refugees home from border camps in time for the May 1993 election, when almost 90 per cent of voters turned out.  ""For the first time we felt very free,"" said Youk Chhang, who spent two weeks in an electoral office guarding ballots.  ""It was a beautiful feeling.""  But Hun Sen, prime minister before UNTAC, came second and quickly complained of vote-rigging. The polls, he said, were worse than the pain of losing an eye in battle.  Threatening to break up the country, Hun Sen forced a power-sharing deal that saw the man who had won the vote, Prince Norodom Ranariddh, and Hun Sen taking the roles of first and second prime ministers.   ""In the world there is no such thing as two prime ministers,"" said Sam Sophal, still bemused by the arrangement.  ""Think about one car and two drivers, who is going to take over?""   The coalition eventually disintegrated in bloodshed, with armed forces loyal to Hun Sen ousting Ranariddh in a 1997 coup.  In retrospect, UNTAC was criticised for caving in to Hun Sen and then just leaving in September 1993. But even at the time, many say it was evident its mandate was fanciful.  ""The people who planned it were out of their minds. It was definitely a mission impossible,"" says academic and author Craig Etcheson.  ""To expect all these people to parachute into a destroyed country, an alien culture with no language skills and to accomplish anything was pretty crazy.""  UNTAC's goal of democracy was always complicated by Hun Sen ambition.  ""He was so far from being a democrat that you knew it wasn’t likely to end well,"" recalled Tim Carney, who ran UNTAC's information division. He now describes Hun Sen as a ""dictator"".   Hun Sen is one of the world's longest serving leaders and presides over a single-party parliament.  In 2017, a court dissolved the main opposition party while a feisty media that blossomed under UNTAC was tamed.  Since the great Cambodian experiment, democracy has been in retreat around the world.  According to the Bertelsmann Transformation Index, for the first time since 2004, there are more autocratic states than democracies.    Like many U.N. missions, expectations in Cambodia were improbably high, said ex-military observer J Floyd Carter, who was detained by the Khmer Rouge during his UNTAC posting.   ""Having been in Cambodia and then in Bosnia, Serbia, Kosovo, Haiti, there were similar disappointments ... It achieves 55 per cent of what it sets out to do,"" Carter said of the United Nations.  Carney said the United Nations was more realistic these days. Following last year's coup in South Sudan, it prioritised dialogue rather than democratic masterplans.   ""They are just trying to get a conversation started,"" he said. ""Which in my mind is about the most that foreigners can do.""  When UNTAC was wound up, it left Cambodia with a fraught political arrangement that was almost bound to go awry.  ""UNTAC was the first test,"" says Sam Sophal, ""But they didn't complete the mission"".  Now retired after 24 years with the United Nations, Sam Sophal says corruption and nepotism have left Cambodians with no political alternatives.   ""People in this country believe in democracy and human rights but who is going to lead them?"" he asked. "
With Vettai’s fifth season comes Shabir’s 'final' rendition of the hit theme song,2022-03-13 09:52:18+08:00,"When police drama Vettai premiered on Vasantham in 2010, it was an instant hit. Its success was closely tied to the force of its theme song, composed and performed by Shabir, who was also one of the show’s lead actors.  Over the years, the song hasn’t waned in popularity, and neither has the show.  Three seasons of Vettai are now available on Netflix, making it accessible to a new range of audiences.  Vettai’s fifth season has just been released and stars Eswari Gunasagar, Gunalan Morgan, Vignesh Wadarajan and Thavanesan Sivananthan as investigators of new crimes. “Vettai” is Tamil for “the hunt”.  Concurrently, Shabir has released what he calls his “fifth and final” rendition of the theme song. And for the first time, the Vettai song is available to download on all music streaming platforms.
  "
