title,body
Zelensky admits his country will have to pay for Western help -  World,"KIEV, March 13. /TASS/. Western countries are helping Ukraine, but Kiev is yet to pay for it, Ukrainian President Vladimir Zelensky has said.
""The money allocated by Europe and other nations are spent only on humanitarian aid or weapons. Sometimes we receive weapons directly, but you have to understand that everything has its price,"" he said. ""Whenever the money that we get is mentioned - well, it all came at a cost, it’s not for free.""
In late February, Ukrainian President Vladimir Zelensky requested the EU to let his country join the union immediately. Ukraine’s application for EU membership under the accelerated procedure has been accepted, registered and is being considered, Head of the Office of the Ukrainian President Andrey Yermak said on March 1.
The heads of EU states and governments, who gathered for an informal summit in France’s Versailles, expressed their solidarity with Ukraine in a joint statement, but stopped short of granting the candidate status to Kiev. According to the final statement, EU will keep strengthening its ties with Ukraine, which belongs to the ""European family."" However, according to Dutch Prime Minister Mark Rutte, the process of Ukraine’s accession to EU may take months or even years.
Ukrainian President Vladimir Zelensky said that both Russia and the West should provide security guarantees to his country.
""Apart from the Russian Federation, the security guarantees should be provided by other leaders as well,"" he said in an interview to foreign media on Saturday.
The Ukrainian president said NATO offered no protection to his country.
""What we need now is not words, but security guarantees <…> from countries and unions of countries that are capable of providing them,"" he said. ""We don’t want to wage any more wars.""
Zelensky went on to say that Russian-Ukrainian negotiations continue.
""Groups of Ukrainian and Russian negotiators are discussing some matters,"" he said, adding that his country informed other states about the ongoing talks.
""We have no secrets, we are absolutely frank about this agenda. We informed certain leaders about the questions that are being discussed by the Russian and the Ukrainian sides,"" Zelensky added.
Ukrainian President Vladimir Zelensky claimed that all previously agreed humanitarian corridors were functioning on Saturday, and 12,729 people used them to flee violence-hit areas.
""All previously agreed corridors were functional. We managed to evacuate 12,729 people. Humanitarian cargo for Mariupol will be delivered tomorrow,"" he said in a video address, posted by the presidential office in its Telegram channel.
Meanwhile, Ukrainian deputy prime minister for issues of reintegration on uncontrolled territories, Irina Vereshchuk, said nine out of 14 humanitarian corridors were operating in the reported period.
""Yesterday we managed to evacuate over 7,000 people, but today their number is slightly less than 13,000,"" she said. ""Of course, this is very, very reassuring,"" she added.
The deputy premier went on to say that the possibility of opening humanitarian corridors from the Lugansk and Kiev regions on Sunday was being considered.
Colonel General Mikhail Mizintsev, chief of Russia’s National Defense Management Center, said on Saturday Russia suggested ten humanitarian corridors for March 12 from Kiev, Chernigov, Sumy, Kharkov and Mariupol, whereas Ukraine added one more, towards Zhitomir. ""At the same time, not a single humanitarian corridor to the Russian Federation has again been confirmed by Kiev, which once again proves the current government’s indifference to their own people,"" the general said.
On February 24, Russian President Vladimir Putin announced a special military operation in response to a request for help by the heads of the Donbass republics. He stressed that Moscow had no plans of occupying Ukrainian territories, but aims to demilitarize and denazify the country. The Russian Defense Ministry said that Russian troops are not targeting Ukrainian cities, but are incapacitating Ukrainian military infrastructure, therefore there are no threats to the civilian population.
"
Russian military urges Ukrainian citizens to hide their Russian links to avoid persecution -  Military & Defense,"MOSCOW, March 13. /TASS/. The armed forces of Russia advise all Ukrainian citizens, who had requested evacuation from Ukraine, to conceal their Russian ties in order to avoid persecution, Colonel General Mikhail Mizintsev, the head of the Russian National Center for Defense Management, said on Saturday.
""We have conclusively established that the Ukrainian security services were tasked with identifying such calls, and are carrying out sweeps, detentions, searches and arrests,"" he said.
""We have to give instructions to everyone seeking our aid, we are telling them to immediately erase all traces of their contacts with us, to delete all outgoing calls and messages that can give away their attempts to contact our coordination center or other organizations and governmental agencies in Russia,"" Mizintsev added.
He read out one of requests received on Saturday: ""I beg you to save my sister and her two small children. They are in Kiev. The Kiev-Chernobyl humanitarian corridor is unsafe. Militants don’t let anyone out. My attempts to contact my sister via internet messengers, and all information about humanitarian corridors that are available, are blocked by Ukrainian special services. My sister does not want to flee to Poland through West Ukraine and apply for a refugee status there. Please help.""
""This message speaks for itself,"" he said. ""But no matter what, people from the Western world, who call themselves ‘civilized,’ continue to deny the existence of neo-Nazism in Ukraine. But facts reveal a totally different picture."".
"
Rosatom denies plans of full control over Zaporozhye NPP — IAEA -  World,"VIENNA, March 13. /TASS/. Rosatom Director General Alexey Likhachev has assured the International Atomic Energy Agency (IAEA) that Russia had no plans of taking Ukraine’s Zaporozhye nuclear power plant (NPP) under full control.
""Ukraine has told IAEA: Russia plans to take full and permanent control of Zaporizhzhya Nuclear Power Plant under Rosatom management,"" the organization said in a Twitter post on Sunday night. ""Rosatom Director General in call with IAEA Chief Rafael Grossi denied such intention."".
Likhachev also ""denied that Rosatom had taken operational control nor that it intended for the plant to be under Rosatom’s ‘management system,’"" the organization said.
According to the statement, the Rosatom chief also informed that ""work was being carried out to restore the lost power lines"" of the station, ""but in a way not to put at risk the existing supplies."" Therefore additional fuel supplies for back-up diesel generators were being brought in, in case they would be needed.
On March 12, Russia notified IAEA that the ""management and operation of the Zaporozhskaya and Chernobyl NPPs is carried out by the Ukrainian operating personnel."" ""A group of several Russian experts provides them consultative assistance,"" the document says.
Earlier, the IAEA reported that Ukraine notified the agency about the loss of control over the Chernobyl NPP and the Zaporozhye NPP. There were also reports of fire targeting spent nuclear fuel reservoirs near Kiev and Kharkov, the IAEA said. For the time being, no radioactive threat has been detected. In this regard, IAEA Director General Rafael Grossi urged to ensure safety of nuclear facilities in Ukraine and prevent radioactive pollution.
"
International Atomic Energy Agency head to visit Kiev — nuclear official -  World,"KIEV, March 13. /TASS/. The International Atomic Energy Agency (IAEA) Director General Rafael Grossi is set to pay a visit to Kiev, the National Nuclear Energy Generating Company of Ukraine (Energoatom) said in its Telegram channel.
""IAEA Director General Rafael Mariano Grossi is set to arrive in Kiev,"" the company said, citing Energoatom chief Pyotr Kotin.
According to Kotin, the date of the visit has not been set yet.
During the special military operation in Ukraine, Russia’s armed forces took control of the Chernobyl and Zaporozhye nuclear power plants. Russian Foreign Ministry spokeswoman Maria Zakharova said at a briefing on Wednesday that the situation at both nuclear power plants is controlled jointly by Russian servicemen, Ukrainian specialists, and the National Guard. According to her, ""statements from the Ukrainian side about an alleged twentyfold increase in the radiation level at the Chernobyl nuclear power plant do not correspond to reality."" The IAEA said on its Twitter feed that it did not observe any critical breaches in the plant's safety system.
In this regard, Grossi urged to ensure safety of nuclear facilities in Ukraine and prevent radioactive pollution.
On March 12, Russia notified IAEA that the ""management and operation of the Zaporozhskaya and Chernobyl NPPs is carried out by the Ukrainian operating personnel."" ""A group of several Russian experts provides them consultative assistance,"" the document says.
"
Putin’s aide Medinsky heads Russian delegation at talks with Ukraine held via video link -  Russian Politics & Diplomacy,"MOSCOW, March 13. /TASS/. The Russian delegation at talks with Ukraine, which are held via a video link, is led by Vladimir Medinsky, the aide to the Russian president, as it was during the face-to-face meetings in Belarus, Kremlin Spokesman Dmitry Peskov told TASS.
""From our part, the delegation is still headed by Medinsky,"" Peskov said when asked about the participants in the Russian-Ukrainian talks held via video conference in recent days.
On Saturday, the Kremlin reported that Russian President Vladimir Putin told French President Emmanuel Macron and German Chancellor Olaf Scholz in their phone conversation about ""a series of talks held between Russian and Ukrainian representatives via video conference in recent days.""
On February 28, the first round of Russian-Ukrainian talks took place in the Gomel region. It lasted five hours. The second round held on March 3, also in Belarus, resulted in an agreement on humanitarian corridors for civilians. The third round took place in the Brest region, Belarus, on March 7.
On March 10, Russian Foreign Minister Sergey Lavrov and his Ukrainian counterpart Dmitry Kuleba met on the sidelines of the Antalya Diplomacy Forum in Turkey.
On February 24, Putin announced a special military operation in response to a request for help by the heads of the Donbass republics. Russia demands that Ukraine should be demilitarized and de-Nazified, should have a non-aligned and non-nuclear status, should recognize Crimea as part of Russia and recognize the sovereignty of the Donetsk and Lugansk People’s Republics. In the meantime, the United States, the United Kingdom and some other states slapped sanctions on Russia.
"
Over 2.6 million people asked Russia to evacuate them from Ukraine - ministry -  Military & Defense,"MOSCOW, March 12. /TASS/. The number of people, who applied to Russia seeking evacuation from Ukraine, increased by almost 20,000 in the past day, exceeding 2.6 million, Colonel General Mikhail Mizintsev, the head of the Russian National Center for Defense Management, said on Saturday.
""A total of 19,963 requests of this kind were registered in the past day alone. Overall, there are 2,638,989 of them <…>, coming from almost 2,000 cities, towns and villages of Ukraine,"" he said.
""Still, Kiev continues to make cynical claims that no one - be they Ukrainian civilians or foreign citizens - is willing to evacuate to Russia,"" he said. ""But the number of evacuation requests submitted by Ukrainian citizens and foreigners via various channels is growing day by day, and this fact points to the contrary."".
"
"t least 1,935 tonnes of humanitarian cargoes delivered to Ukraine — Defense Ministry -  Military & Defense","MOSCOW, March 12. /TASS/. Russia has already delivered 1,935 tonnes of humanitarian cargoes to Ukraine and carried out 237 humanitarian missions, Colonel General Mikhail Mizintsev, chief of Russia’s National Defense Management Center, said on Saturday.
""A total of 1,935 tonnes of humanitarian cargo has already been delivered to Ukraine and 237 humanitarian missions have been held. Among them were 22 actions in the Kiev, Zaporozhye, Kharkov and Chernigov regions in the past 24 hours, when 264 tonnes of basic necessities, medicines and food were handed out to civilians in the liberated areas,"" he said.
According to the general, efforts to accumulate humanitarian aid are continuing, and more than 17,000 tonnes of cargoes have been collected at storage facilities.
""Today, 31 humanitarian missions have been held in the Kiev and Chernigov regions as well as in the Donetsk and Lugansk People’s Republics, when 240 tonnes of basic necessities and food were handed out to the local population,"" Mizintsev said.
Russia suggested ten humanitarian corridors for March 12 from Kiev, Chernigov, Sumy, Kharkov and Mariupol, whereas Ukraine added another one towards Zhitomir, Mizintsev said.
""For purely humane purposes, as of 10 a.m. today the Russian Federation has for the eighth time provided humanitarian corridors from Kiev, Chernigov, Sumy, Kharkov and Mariupol, one humanitarian corridor to the Russian Federation, and another one through Kiev-controlled areas towards Ukraine’s western borders,"" he said.
According to Mizintsev, Ukraine added one more route in the direction of Zhitomir to the ten routes proposed by Russia.
""At the same time, not a single humanitarian corridor to the Russian Federation has again been confirmed by Kiev, which once again proves the current government’s indifference to their own people,"" the general said.
Without Ukraine’s participation, Russia has evacuated about 10,000 people from dangerous areas, including the Donetsk and Lugansk People’s Republics, in the past 24 hours, Mizintsev said.
""Without Ukraine’s participation, 9,787 people, including 1,738 children, have been evacuated from dangerous areas in various regions of Ukraine and the Lugansk and Donetsk People’s Republics in the past 24 hours. In total, more than 231,000 people, including 51,996 children, [have been evacuated] since the beginning of the special military operation,"" said Mizintsev.
According to Mizintsev, 24,168 private vehicles have crossed into Russia, including 915 entering the country in the past 24 hours.
The general said that thanks to unprecedented security measures taken by the Russian Armed Forces on Saturday, it became possible to provide humanitarian corridors and evacuate 8,730 citizens traveling by buses and private cars towards Poltava.
""It should be noted that local authorities did not take any part in organizing those convoys. Desperate people were gathering in groups on their own, but realizing that it was impossible [to go] as the nationalists had blocked the way to Russia, they were forced to leave in any possible direction,"" Mizintsev said.
The general added that a humanitarian operation to evacuate 130 foreigners from the Kherson region is drawing to a close. They are being evacuated via Crimea to Novorossiysk.
The humanitarian situation in Ukraine is getting worse day by day, and has already become catastrophic in some areas, Mizintsev said.
""Regretfully, the humanitarian situation in Ukraine continues to deteriorate rapidly, becoming catastrophic in certain cities,"" he said.
Armed neo-Nazi groups in Ukraine plant explosives in residential areas and destroy bridges and other vital infrastructure, claiming that Russia was responsible for that, the head of the Russian National Center for Defense Management said.
""Armed nationalist groups plant explosives in residential areas, destroy bridges, roads and other vital infrastructure,"" the Russian official said.
In his words, civilians have to survive without medicines, central heating and water supply due to criminal actions of the Ukrainian authorities.
""While ordinary people are on the brink of despair, the Kiev government is aware of what is happening on the ground, but continues to cynically blame Russian armed forces for that in the media,"" Mizintsev continued. ""All those atrocities - mine-laying, explosions, firing points in residential areas, hospitals, schools, kindergartens - are taking place in full view of everyone, and witnesses will eventually reveal the truth about this tragedy to the rest of the world.""
"
"Ukraine’s justice system, law enforcement paralyzed — Russian defense ministry -  Military & Defense","MOSCOW, March 12. /TASS/. The justice and law enforcement systems of Ukraine are paralyzed and unable to fulfill their duties, Colonel General Mikhail Mizintsev, the head of the Russian National Center for Defense Management, said on Saturday.
""We have to admit that the law enforcement and justice systems of Ukraine are paralyzed and no longer perform their functions. Pretrial investigations are no longer carried out by relevant authorities, courts stopped their work, and verdicts are being handed down by those with weapons in their hands,"" he said.
The official added that the Kiev government had deliberately authorized uncontrolled use of firearms by civilians. The move triggered a wave of looting, armed robberies and racketeering, resulting in numerous civilian deaths.
""Local police are too scared to investigate crimes or administrative offenses, because they de-facto became a target for thousands of miscreants, released from jails by the Kiev government,"" he said.
On February 24, Russian President Vladimir Putin announced a special military operation in response to a request for help by the heads of the Donbass republics. He stressed that Moscow had no plans of occupying Ukrainian territories, but aims to demilitarize and denazify the country. The Russian Defense Ministry said that Russian troops are not targeting Ukrainian cities, but are incapacitating Ukrainian military infrastructure, therefore there are no threats to the civilian population.
"
"Neo-Nazis rob Mariupol residents, kill those who resist them — Russian official -  Military & Defense","MOSCOW, March 12. /TASS/. Neo-Nazi groups in Mariupol started to loot homes of local residents, killing those who resist them, Colonel General Mikhail Mizintsev, the head of the Russian National Center for Defense Management, said on Saturday.
""Today, armed neo-Nazi gangs went on a yet another looting spree in residential areas, robbing local residents of their remaining food, clothes and valuables,"" he said.
""Those who resisted in any form were gunned down on the spot,"" Mizintsev added.
He went on to say that Ukraine’s authorities continued to violate agreements on humanitarian corridors to Russia, because civilians in Kiev, Chernigov, Kharkov and Sumy have not been notified about them.
Ukrainian neo-Nazis have detained and sent back 450 civilians, who were trying to leave Ukraine’s Sumy region for Russia’s Kursk region, Colonel General Mikhail Mizintsev, chief of Russia’s National Defense Management Center, said on Saturday.
""We have also reliably established today that neo-Nazis detained all the civilians, about 450 people, who were trying to leave the Sumy region to the north through the town of Sudzha to Russia’s Kursk region. Private cars were seized, and the civilians were simply sent back in the opposite direction,"" Mizintsev said.
Ukrainian neo-Nazis are holding 6,900 foreigners from 16 countries hostage, Colonel General Mikhail Mizintsev, the head of the Russian National Center for Defense Management, said on Saturday.
""More than 6,900 foreigners from 16 countries are held hostage by Ukrainian neo-Nazis, who are using them as a human shield,"" he said.
The official also mentioned ""crews of more than 50 foreign vessels, who are unable to leave Ukrainian ports due to the danger of mines planted by Ukraine in the Azov Sea and the Black Sea in breach of the international humanitarian law.""
Among them are citizens of Azerbaijan, Greece, Georgia, Egypt, India, Lebanon, Syria, Turkey, the Philippines, Jamaica and other states.
""We working to solve problems of the above-mentioned individuals with officials from various diplomatic bodies,"" the Russian general said.
On February 24, Putin announced a special military operation in response to a request for help by the heads of the Donbass republics. He stressed that Moscow had no plans of occupying Ukrainian territories, but aims to demilitarize and denazify the country. The Russian Defense Ministry said that Russian troops are not targeting Ukrainian cities, but are incapacitating Ukrainian military infrastructure, therefore there are no threats to the civilian population.
"
"Russian military takes 3,593 Ukrainian military facilities out of action -Defense Ministry -  Military & Defense","MOSCOW, March 12. /TASS/. Russia’s Armed Forces have incapacitated 3,593 Ukrainian military facilities during the operation, including 61 helicopters and 121 drones, Russian Defense Ministry Spokesman Igor Konashenkov said on Saturday.
""A total of 3,593 military facilities of Ukraine has been taken out of action during the operation. Sixty-one helicopters, 126 unmanned aerial vehicles, 1,159 tanks and other armored combat vehicles, 118 multiple rocket launchers, 436 pieces of field artillery and mortars, and 973 special military vehicles have been destroyed,"" he said.
Aircraft and air defenses of the Russian Aerospace Forces have shot down a Ukrainian helicopter Mi-24 and three drones in the past 24 hours, Konashenkov said.
""In the past 24 hours, the aviation and air defense units of the Russian Aerospace Forces have brought down one helicopter Mi-24 belonging to the Ukrainian Air Force and three unmanned aerial vehicles, including a Bayraktar TB2,"" Konashenkov said.
According to the Russian Defense Ministry spokesman, Russia’s tactical and army aircraft along with drones hit 79 targets of Ukraine’s military infrastructure.
""Among them are four control and communication posts, two anti-aircraft missile systems, three multiple launch rocket systems, one electronic warfare system, six ammunition and fuel depots, and 54 concentration areas of combat equipment,"" Konashenkov added.
Mariupol is facing a dire humanitarian situation, as hundreds of thousands of people, including foreigners, are forcibly confined there, Colonel General Mikhail Mizintsev, the chief of the Russian National Defense Management Center, said.
""The humanitarian situation in Mariupol is critical. Hundreds of thousands of people, including foreigners, are being forcibly held by nationalists, who, threatening them with physical violence, are suppressing any attempts to leave the city,"" he said.
Earlier on Saturday, Eduard Basurin, deputy chief of the militia of the Donetsk People’s Republic, said that 180 civilians, including 26 children, had left Mariupol through a humanitarian corridor in the past 24 hours.
"
